NAME : a500
COMMENT : drilling problem (Ludwig)
TYPE : TSP
DIMENSION: 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
  1 288 149
  2 288 129
  3 270 133
  4 256 141
  5 256 157
  6 246 157
  7 236 169
  8 228 169
  9 228 161
 10 220 169
 11 212 169
 12 204 169
 13 196 169
 14 188 169
 15 196 161
 16 188 145
 17 172 145
 18 164 145
 19 156 145
 20 148 145
 21 140 145
 22 148 169
 23 164 169
 24 172 169
 25 156 169
 26 140 169
 27 132 169
 28 124 169
 29 236 169
 30 228 169
 31 228 161
 32 220 169
 33 212 169
 34 204 169
 35 196 169
 36 188 169
 37 196 161
 38 188 145
 39 172 145
 40 164 145
 41 156 145
 42 148 145
 43 140 145
 44 148 169
 45 164 169
 46 172 169
 47 156 169
 48 140 169
 49 132 169
 50 124 169
EOF

